,terms,terms_full_name,imp_ov,imp_brca
0,GO:0007006,mitochondrial membrane organization,-0.0005174985843214426,0.001471195659383214
1,GO:0008637,apoptotic mitochondrial changes,-5.093072002937207e-05,0.00042712078872197496
2,GO:0006284,base-excision repair,-3.3807421597072056e-05,-0.00034176288459627867
3,GO:0006283,transcription-coupled nucleotide-excision repair,-0.00015830551420555102,0.00022441177335545825
4,GO:0019985,translesion synthesis,0.00011528445575819513,0.00016714761261375872
5,GO:0000724,double-strand break repair via homologous recombination,9.588336006320134e-05,1.785129323261575e-05
6,GO:0006303,double-strand break repair via nonhomologous end joining,-9.297664368198464e-05,0.00022404776209659945
7,GO:0044030,regulation of DNA methylation,-4.7889422378880415e-05,-5.2211303543832876e-05
8,GO:0010569,regulation of double-strand break repair via homologous recombination,5.690672349805656e-05,-7.118437301562772e-05
9,GO:0045830,positive regulation of isotype switching,9.216229070415136e-05,0.00012208808362700556
10,GO:0045739,positive regulation of DNA repair,-8.173692064370238e-05,-3.0951143690155046e-05
11,GO:2000279,negative regulation of DNA biosynthetic process,-2.117618801808211e-05,0.00026271354096392863
12,GO:0032212,positive regulation of telomere maintenance via telomerase,0.00013603442648413581,-0.0004963932594551348
13,GO:0051973,positive regulation of telomerase activity,-0.0005953568639498325,0.0014034245666911713
14,GO:0000070,mitotic sister chromatid segregation,0.0007718889405839966,-0.000593024098759749
15,GO:0000083,GO:0000083,-3.98724366762601e-05,0.0006790004437650029
16,GO:0000281,mitotic cytokinesis,0.0005242580242198815,0.0008350832312688317
17,GO:0000038,very long-chain fatty acid metabolic process,-0.00010339288367358625,0.00028968932091199385
18,GO:0019372,lipoxygenase pathway,7.904900969043405e-05,-0.00023194244764826618
19,GO:0006635,fatty acid beta-oxidation,0.00012907992934134868,0.00016430360496703713
20,GO:0043651,linoleic acid metabolic process,-0.00010476171670712284,0.0009737170537796535
21,GO:0042759,long-chain fatty acid biosynthetic process,-4.550739239568452e-05,7.495353234295112e-05
22,GO:0046457,prostanoid biosynthetic process,-5.842783004248496e-05,2.4465196159370252e-05
23,GO:0006826,iron ion transport,-0.0001410624353338359,-3.268715878609624e-05
24,GO:0097711,ciliary basal body-plasma membrane docking,-0.00039377419179442474,0.000577748452133317
25,GO:0090307,mitotic spindle assembly,-0.0007556044040545859,0.001161270476143512
26,GO:0006656,phosphatidylcholine biosynthetic process,-0.00016618023285516146,4.4735873337359466e-05
27,GO:0009309,amine biosynthetic process,-0.0002502003809931867,6.741253596378348e-05
28,GO:0033014,tetrapyrrole biosynthetic process,0.00010347564462144739,-0.0005459740790765749
29,GO:0042398,cellular modified amino acid biosynthetic process,0.00014387708549556247,-0.00047702586119463444
30,GO:0042423,catecholamine biosynthetic process,-6.712925188450314e-05,2.429974562976509e-05
31,GO:0043043,peptide biosynthetic process,-0.001591043652756335,0.0010795925988637334
32,GO:0046112,nucleobase biosynthetic process,-0.00018111288863774342,0.00026793569222687105
33,GO:0072525,pyridine-containing compound biosynthetic process,-7.002735709345391e-05,-0.0003404679068741338
34,GO:1901687,glutathione derivative biosynthetic process,0.0002786226472192401,0.00047725015673044793
35,GO:0046513,ceramide biosynthetic process,-0.00041618394669248356,0.0002696467961806562
36,GO:0006497,protein lipidation,-0.00025631588672777087,0.00020349408893184347
37,GO:0009066,aspartate family amino acid metabolic process,2.516576851422244e-05,0.0001584543636543281
38,GO:1901607,alpha-amino acid biosynthetic process,-0.0007057261801759141,-0.0007889490441479357
39,GO:0009065,glutamine family amino acid catabolic process,8.293163069868625e-05,-0.00047639777990360414
40,GO:0006536,glutamate metabolic process,-7.918454902407797e-05,-0.0008385015742901894
41,GO:0006541,glutamine metabolic process,-0.0004112855553431856,-0.0008820211045950675
42,GO:0006658,phosphatidylserine metabolic process,0.00033599020210865635,-0.0006538756005650871
43,GO:0006749,glutathione metabolic process,-0.0003308746417660337,0.000409755388896619
44,GO:0006760,folic acid-containing compound metabolic process,-0.0011755207545399817,4.069470349986388e-05
45,GO:0043303,mast cell degranulation,-0.0003425058659217423,0.0009616299514482016
46,GO:0051303,establishment of chromosome localization,4.083503395193075e-06,-1.2483118453828305e-05
47,GO:0047496,vesicle transport along microtubule,-0.00046340790379487937,0.00012305554886014666
48,GO:0007050,regulation of cell cycle,-0.0005496930952165772,0.000604974208106869
49,GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,-0.0003185114108578056,0.0008939487859835658
50,GO:0031572,mitotic G2 DNA damage checkpoint signaling,-1.9125997337628144e-05,0.00024597231295889167
51,GO:0043407,negative regulation of MAP kinase activity,0.0002441945375885181,0.0005258895143645941
52,GO:0043506,regulation of JUN kinase activity,0.0003315073516412777,0.0001992567767672111
53,GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity,0.0012640601119748415,-0.0010672496923704148
54,GO:0000086,G2/M transition of mitotic cell cycle,2.2194650368009367e-05,-0.0017873907935317408
55,GO:0034401,GO:0034401,0.00018915565050318267,-0.00023191186632606263
56,GO:0043620,GO:0043620,0.000475982051412458,-0.0006856736852241781
57,GO:2000142,regulation of DNA-templated transcription initiation,-8.80632893107131e-05,0.0009227179357022186
58,GO:0000096,sulfur amino acid metabolic process,2.8374803711250017e-06,1.1356712011320542e-05
59,GO:0044273,sulfur compound catabolic process,0.0001514556739255685,-0.0007153357133702007
60,GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,0.0002156226087546909,0.0008961772970191194
61,GO:0035384,thioester biosynthetic process,-0.0005793615202037741,0.0008306746924791372
62,GO:0009074,aromatic amino acid family catabolic process,-9.935874113725226e-05,-0.0001939219483169633
63,GO:0000122,negative regulation of transcription by RNA polymerase II,-0.001345407655034827,-0.0018186808189120792
64,GO:0006342,heterochromatin formation,-0.0005679732159285816,-0.0004759709185073124
65,GO:0030509,BMP signaling pathway,-0.00020533610805709355,3.316617519284595e-05
66,GO:1902895,positive regulation of miRNA transcription,0.0001427736892146089,-0.0009001188993817009
67,GO:0036003,GO:0036003,0.00023113370033175896,0.0001328113830112356
68,GO:0061418,GO:0061418,0.0001913074937638634,-4.66122560376389e-05
69,GO:0007416,synapse assembly,-0.0005591338759762702,-0.001209657301944979
70,GO:0010927,cellular component assembly involved in morphogenesis,4.876064595949718e-05,6.555766913274292e-05
71,GO:0006334,nucleosome assembly,0.000246135426244315,-0.0004038577098708515
72,GO:0007043,cell-cell junction assembly,-0.0016820669230298007,-0.00011152191129266025
73,GO:0007044,cell-substrate junction assembly,0.00017776015975254675,0.00017802775510918946
74,GO:0034333,adherens junction assembly,-0.0014964865231777,3.43198450526497e-05
75,GO:0007249,canonical NF-kappaB signal transduction,6.0526354815984336e-05,-0.00019611332321653598
76,GO:0035329,hippo signaling,-0.00011816115313285994,-0.00030178911992379383
77,GO:0038061,non-canonical NF-kappaB signal transduction,-0.00015719751713787688,8.553156472701465e-05
78,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,-0.00010076013369787461,-7.920029766904218e-05
79,GO:0072331,signal transduction by p53 class mediator,-4.269927454975217e-06,0.0005356977931340505
80,GO:0014065,GO:0014065,0.00010852779138055255,2.3455344221310487e-05
81,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0.0002586268368866559,0.0005464403340750056
82,GO:0007257,GO:0007257,0.0005284263738971713,-0.0002603586655942177
83,GO:0070371,ERK1 and ERK2 cascade,-0.00014131815825743968,-3.012848116923824e-05
84,GO:0000186,GO:0000186,0.0006232923916824873,-9.627300007312189e-05
85,GO:0032148,activation of protein kinase B activity,2.0830568077944523e-05,3.7908461277904176e-05
86,GO:0000209,protein polyubiquitination,1.3663601900029143e-05,-6.158351361278523e-05
87,GO:0030865,cortical cytoskeleton organization,-0.00012493744425956873,0.0002196371056068365
88,GO:0007051,spindle organization,0.0001960687711961555,1.3284175513579163e-05
89,GO:0007098,centrosome cycle,-0.00018449908921437165,0.0008204257116035854
90,GO:0042417,dopamine metabolic process,0.0006637001720547711,0.00020657495951857438
91,GO:0046209,nitric oxide metabolic process,-0.0004752604181569209,0.00012813820801109213
92,GO:0046514,ceramide catabolic process,7.643309395937586e-05,-0.0002695937101237486
93,GO:0006068,ethanol catabolic process,-0.00031811770446802973,0.0006519987082247678
94,GO:0046135,pyrimidine nucleoside catabolic process,-0.00022685889619113156,0.00016444947157280158
95,GO:0042402,cellular biogenic amine catabolic process,4.605016422937688e-05,5.773398881572671e-05
96,GO:0009154,purine ribonucleotide catabolic process,-0.0004164245063254614,0.0005422618344513874
97,GO:0006706,steroid catabolic process,0.0001144730512765022,1.1521830592115372e-05
98,GO:0046364,monosaccharide biosynthetic process,0.0002440412095356751,-0.00039053160906543123
99,GO:0006027,glycosaminoglycan catabolic process,0.00028800150182474503,-9.240983390867087e-05
100,GO:0009251,glucan catabolic process,0.0005382001970994678,2.631561354502639e-05
101,GO:0044247,GO:0044247,-0.00018358031055157897,-0.00017366822552369478
102,GO:0071731,response to nitric oxide,-0.0005711844694760604,0.00016374191296313726
103,GO:0070301,cellular response to hydrogen peroxide,0.0002844190264304921,-0.0018820063497877852
104,GO:0071295,cellular response to vitamin,0.0002667033251676213,9.386708129126566e-05
105,GO:0071318,cellular response to ATP,0.0004378805496799291,-0.0014612623995109903
106,GO:0032495,response to muramyl dipeptide,0.00020681174536363358,-0.00016717977076576875
107,GO:0032570,response to progesterone,-0.00023842638759965278,0.0005681200767073269
108,GO:0035094,response to nicotine,-0.00013918900293393143,-0.00018204794945656902
109,GO:0042220,response to cocaine,-0.0007935449233026063,-0.00039311473973958487
110,GO:0043278,response to morphine,-0.0015071209144301885,-0.0014314840992418552
111,GO:0031000,response to caffeine,-0.0004350751820731407,-8.093191972798598e-05
112,GO:0001975,response to amphetamine,-0.0004573113525404954,4.585657042201303e-05
113,GO:0098813,nuclear chromosome segregation,0.0015140796738872708,0.0006869435526341015
114,GO:0006401,RNA catabolic process,-0.00012714316375895854,0.0003538528329208381
115,GO:0009451,RNA modification,0.00010759727463060979,0.00012397649839627684
116,GO:0090501,GO:0090501,0.00011729186244220642,-0.0007419880281416912
117,GO:0009299,mRNA transcription,3.263950222808949e-05,-9.726224101526514e-05
118,GO:0006367,transcription initiation at RNA polymerase II promoter,-0.00014923122389587333,-0.0006271431536217437
119,GO:0098781,ncRNA transcription,-2.1360242856218675e-05,-0.0003497561254346147
120,GO:0008033,tRNA processing,-3.624616952886165e-05,-2.119956074062143e-05
121,GO:0006418,tRNA aminoacylation for protein translation,-3.289023400658152e-05,-0.0001028383518730074
122,GO:0000398,"mRNA splicing, via spliceosome",-0.00019080914338843148,0.0022480166197312843
123,GO:0061647,histone H3-K9 modification,0.00025155502859545753,-5.432170042173475e-05
124,GO:0035404,GO:0035404,-0.0002721165715907249,0.0010948547231448371
125,GO:0043966,histone H3 acetylation,-0.00015385138464304757,0.00016874981374536666
126,GO:0043967,histone H4 acetylation,-0.0003592281044587244,-0.00045440908264112725
127,GO:0070932,histone H3 deacetylation,-0.0005375107912133569,-0.0001245605763938237
128,GO:0070076,histone lysine demethylation,-0.0001811486655697055,0.00015999565080659046
129,GO:0051568,histone H3-K4 methylation,7.807197704351562e-05,0.00019498535684257446
130,GO:0000723,telomere maintenance,0.0006573132365001772,-0.0008883957796967156
131,GO:0006323,chromosome organization,0.00018611198509600838,-8.183352683225904e-05
132,GO:0032508,DNA duplex unwinding,-0.000169843495837011,0.00017811073474439018
133,GO:0071897,DNA biosynthetic process,-0.0008354384031656642,0.0010418642826669684
134,GO:0006306,DNA methylation,0.00014806150794084998,-0.0002725394236448902
135,GO:0002562,somatic diversification of immune receptors via germline recombination within a single locus,1.7151753577097962e-05,1.8786592906390186e-05
136,GO:0070050,neuron cellular homeostasis,-0.00016655583752380086,0.000404402125423672
137,GO:0007338,single fertilization,0.00010638343246534129,-7.467535260894721e-05
138,GO:0007617,mating behavior,-0.00023155104326942651,0.0005416857246818893
139,GO:0046697,decidualization,-0.0004553962126078671,0.0002790816648938715
140,GO:0060669,embryonic placenta morphogenesis,-0.00015536967354788984,-7.036556876393115e-07
141,GO:0046879,hormone secretion,-0.0002161662660863081,-8.393041706480979e-06
142,GO:0014031,mesenchymal cell development,-0.0006180791198450059,0.0003823690576543318
143,GO:0048469,cell maturation,1.1606258554670933e-05,0.0002004203197809455
144,GO:0048864,stem cell development,0.0006863621891847344,-0.000702715390679988
145,GO:0061515,myeloid cell development,-7.684754196319847e-05,-0.0004303405925650089
146,GO:0055013,cardiac muscle cell development,8.861263522754384e-05,-0.001368190787107423
147,GO:0048747,muscle cell development,0.0003144373978057004,-0.00020197966370172476
148,GO:0034446,substrate adhesion-dependent cell spreading,-0.00016010584268437542,-0.0003355731467817957
149,GO:0022618,protein-RNA complex assembly,6.844523277020734e-05,0.0011162846422786915
150,GO:0051258,protein polymerization,-4.632181932289908e-05,7.949738025771808e-05
151,GO:0034312,diol biosynthetic process,0.00047672865853736455,-0.00012024941028429614
152,GO:0072330,monocarboxylic acid biosynthetic process,-0.0007349059900652519,0.0017688117769901158
153,GO:0043484,regulation of RNA splicing,-0.0003483249038963458,0.0008239567548985607
154,GO:1903798,regulation of miRNA processing,-0.00026747392967676933,0.000458259897759925
155,GO:0050684,regulation of mRNA processing,0.00016253744164674205,-0.00044567169209154013
